ticker,date,close
UTZ,2026-06-24,
UTZ,2026-06-25,
UTZ,2026-06-26,
UTZ,2026-06-29,
UTZ,2026-06-30,
UTZ,2026-07-01,
UTZ,2026-07-02,
UTZ,2026-07-03,
UTZ,2026-07-06,
UTZ,2026-07-07,
UTZ,2026-07-08,
UTZ,2026-07-09,
UTZ,2026-07-10,
UTZ,2026-07-13,
UTZ,2026-07-14,
UTZ,2026-07-15,
UTZ,2026-07-16,
UTZ,2026-07-17,
UTZ,2026-07-20,
UTZ,2026-07-21,
UTZ,2026-07-22,
UTZ,2026-07-23,
UTZ,2026-07-24,
SMCI,2026-06-24,
SMCI,2026-06-25,
SMCI,2026-06-26,
SMCI,2026-06-29,
SMCI,2026-06-30,
SMCI,2026-07-01,
SMCI,2026-07-02,
SMCI,2026-07-03,
SMCI,2026-07-06,
SMCI,2026-07-07,
SMCI,2026-07-08,
SMCI,2026-07-09,
SMCI,2026-07-10,
SMCI,2026-07-13,
SMCI,2026-07-14,
SMCI,2026-07-15,
SMCI,2026-07-16,
SMCI,2026-07-17,
SMCI,2026-07-20,
SMCI,2026-07-21,
SMCI,2026-07-22,
SMCI,2026-07-23,
SMCI,2026-07-24,
ACHR,2026-06-24,
ACHR,2026-06-25,
ACHR,2026-06-26,
ACHR,2026-06-29,
ACHR,2026-06-30,
ACHR,2026-07-01,
ACHR,2026-07-02,
ACHR,2026-07-03,
ACHR,2026-07-06,
ACHR,2026-07-07,
ACHR,2026-07-08,
ACHR,2026-07-09,
ACHR,2026-07-10,
ACHR,2026-07-13,
ACHR,2026-07-14,
ACHR,2026-07-15,
ACHR,2026-07-16,
ACHR,2026-07-17,
ACHR,2026-07-20,
ACHR,2026-07-21,
ACHR,2026-07-22,
ACHR,2026-07-23,
ACHR,2026-07-24,
NBIS,2026-06-24,
NBIS,2026-06-25,
NBIS,2026-06-26,
NBIS,2026-06-29,
NBIS,2026-06-30,
NBIS,2026-07-01,
NBIS,2026-07-02,
NBIS,2026-07-03,
NBIS,2026-07-06,
NBIS,2026-07-07,
NBIS,2026-07-08,
NBIS,2026-07-09,
NBIS,2026-07-10,
NBIS,2026-07-13,
NBIS,2026-07-14,
NBIS,2026-07-15,
NBIS,2026-07-16,
NBIS,2026-07-17,
NBIS,2026-07-20,
NBIS,2026-07-21,
NBIS,2026-07-22,
NBIS,2026-07-23,
NBIS,2026-07-24,
MU,2026-06-24,
MU,2026-06-25,
MU,2026-06-26,
MU,2026-06-29,
MU,2026-06-30,
MU,2026-07-01,
MU,2026-07-02,
MU,2026-07-03,
MU,2026-07-06,
MU,2026-07-07,
MU,2026-07-08,
MU,2026-07-09,
MU,2026-07-10,
MU,2026-07-13,
MU,2026-07-14,
MU,2026-07-15,
MU,2026-07-16,
MU,2026-07-17,
MU,2026-07-20,
MU,2026-07-21,
MU,2026-07-22,
MU,2026-07-23,
MU,2026-07-24,
COIN,2026-06-24,
COIN,2026-06-25,
COIN,2026-06-26,
COIN,2026-06-29,
COIN,2026-06-30,
COIN,2026-07-01,
COIN,2026-07-02,
COIN,2026-07-03,
COIN,2026-07-06,
COIN,2026-07-07,
COIN,2026-07-08,
COIN,2026-07-09,
COIN,2026-07-10,
COIN,2026-07-13,
COIN,2026-07-14,
COIN,2026-07-15,
COIN,2026-07-16,
COIN,2026-07-17,
COIN,2026-07-20,
COIN,2026-07-21,
COIN,2026-07-22,
COIN,2026-07-23,
COIN,2026-07-24,
WULF,2026-06-24,
WULF,2026-06-25,
WULF,2026-06-26,
WULF,2026-06-29,
WULF,2026-06-30,
WULF,2026-07-01,
WULF,2026-07-02,
WULF,2026-07-03,
WULF,2026-07-06,
WULF,2026-07-07,
WULF,2026-07-08,
WULF,2026-07-09,
WULF,2026-07-10,
WULF,2026-07-13,
WULF,2026-07-14,
WULF,2026-07-15,
WULF,2026-07-16,
WULF,2026-07-17,
WULF,2026-07-20,
WULF,2026-07-21,
WULF,2026-07-22,
WULF,2026-07-23,
WULF,2026-07-24,
NOW,2026-06-24,
NOW,2026-06-25,
NOW,2026-06-26,
NOW,2026-06-29,
NOW,2026-06-30,
NOW,2026-07-01,
NOW,2026-07-02,
NOW,2026-07-03,
NOW,2026-07-06,
NOW,2026-07-07,
NOW,2026-07-08,
NOW,2026-07-09,
NOW,2026-07-10,
NOW,2026-07-13,
NOW,2026-07-14,
NOW,2026-07-15,
NOW,2026-07-16,
NOW,2026-07-17,
NOW,2026-07-20,
NOW,2026-07-21,
NOW,2026-07-22,
NOW,2026-07-23,
NOW,2026-07-24,
HOOD,2026-06-24,
HOOD,2026-06-25,
HOOD,2026-06-26,
HOOD,2026-06-29,
HOOD,2026-06-30,
HOOD,2026-07-01,
HOOD,2026-07-02,
HOOD,2026-07-03,
HOOD,2026-07-06,
HOOD,2026-07-07,
HOOD,2026-07-08,
HOOD,2026-07-09,
HOOD,2026-07-10,
HOOD,2026-07-13,
HOOD,2026-07-14,
HOOD,2026-07-15,
HOOD,2026-07-16,
HOOD,2026-07-17,
HOOD,2026-07-20,
HOOD,2026-07-21,
HOOD,2026-07-22,
HOOD,2026-07-23,
HOOD,2026-07-24,
HAS,2026-06-24,
HAS,2026-06-25,
HAS,2026-06-26,
HAS,2026-06-29,
HAS,2026-06-30,
HAS,2026-07-01,
HAS,2026-07-02,
HAS,2026-07-03,
HAS,2026-07-06,
HAS,2026-07-07,
HAS,2026-07-08,
HAS,2026-07-09,
HAS,2026-07-10,
HAS,2026-07-13,
HAS,2026-07-14,
HAS,2026-07-15,
HAS,2026-07-16,
HAS,2026-07-17,
HAS,2026-07-20,
HAS,2026-07-21,
HAS,2026-07-22,
HAS,2026-07-23,
HAS,2026-07-24,
LESL,2026-06-24,
LESL,2026-06-25,
LESL,2026-06-26,
LESL,2026-06-29,
LESL,2026-06-30,
LESL,2026-07-01,
LESL,2026-07-02,
LESL,2026-07-03,
LESL,2026-07-06,
LESL,2026-07-07,
LESL,2026-07-08,
LESL,2026-07-09,
LESL,2026-07-10,
LESL,2026-07-13,
LESL,2026-07-14,
LESL,2026-07-15,
LESL,2026-07-16,
LESL,2026-07-17,
LESL,2026-07-20,
LESL,2026-07-21,
LESL,2026-07-22,
LESL,2026-07-23,
LESL,2026-07-24,
ACI,2026-06-24,
ACI,2026-06-25,
ACI,2026-06-26,
ACI,2026-06-29,
ACI,2026-06-30,
ACI,2026-07-01,
ACI,2026-07-02,
ACI,2026-07-03,
ACI,2026-07-06,
ACI,2026-07-07,
ACI,2026-07-08,
ACI,2026-07-09,
ACI,2026-07-10,
ACI,2026-07-13,
ACI,2026-07-14,
ACI,2026-07-15,
ACI,2026-07-16,
ACI,2026-07-17,
ACI,2026-07-20,
ACI,2026-07-21,
ACI,2026-07-22,
ACI,2026-07-23,
ACI,2026-07-24,
PEGA,2026-06-24,
PEGA,2026-06-25,
PEGA,2026-06-26,
PEGA,2026-06-29,
PEGA,2026-06-30,
PEGA,2026-07-01,
PEGA,2026-07-02,
PEGA,2026-07-03,
PEGA,2026-07-06,
PEGA,2026-07-07,
PEGA,2026-07-08,
PEGA,2026-07-09,
PEGA,2026-07-10,
PEGA,2026-07-13,
PEGA,2026-07-14,
PEGA,2026-07-15,
PEGA,2026-07-16,
PEGA,2026-07-17,
PEGA,2026-07-20,
PEGA,2026-07-21,
PEGA,2026-07-22,
PEGA,2026-07-23,
PEGA,2026-07-24,
ROL,2026-06-24,
ROL,2026-06-25,
ROL,2026-06-26,
ROL,2026-06-29,
ROL,2026-06-30,
ROL,2026-07-01,
ROL,2026-07-02,
ROL,2026-07-03,
ROL,2026-07-06,
ROL,2026-07-07,
ROL,2026-07-08,
ROL,2026-07-09,
ROL,2026-07-10,
ROL,2026-07-13,
ROL,2026-07-14,
ROL,2026-07-15,
ROL,2026-07-16,
ROL,2026-07-17,
ROL,2026-07-20,
ROL,2026-07-21,
ROL,2026-07-22,
ROL,2026-07-23,
ROL,2026-07-24,
TSLA,2026-06-24,
TSLA,2026-06-25,
TSLA,2026-06-26,
TSLA,2026-06-29,
TSLA,2026-06-30,
TSLA,2026-07-01,
TSLA,2026-07-02,
TSLA,2026-07-03,
TSLA,2026-07-06,
